admire_count,collect_count,comment_count,digg_count,play_count,share_count
3,22814,5654,74579,0,12102
0,10458,1351,20076,0,4665
0,5410,3706,25363,0,3585
0,168,38,709,0,48
0,977,190,3350,0,348
0,730,88,1704,0,272
0,903,96,2886,0,289
0,363,101,1578,0,211
1,12733,446,11087,0,3995
0,990,204,3207,0,339
0,720,141,2259,0,226
0,28501,1031,42425,0,7319
1,9254,664,14445,0,2403
0,4692,275,6698,0,1295
0,1267,232,3898,0,350
0,8652,430,14637,0,2329
0,2139,265,5910,0,684
1,3898,401,10209,0,1184
0,6243,771,15916,0,1455
0,801,243,2927,0,361
0,1188,162,3367,0,423
1,5753,451,15608,0,1888
1,12865,1057,24653,0,2795
0,3054,491,8222,0,711
0,8769,937,15500,0,2254
2,33179,1928,57065,0,8676
0,25142,1147,35222,0,6014
1,6903,835,15825,0,1747
0,1570,149,3367,0,454
0,1750,317,4590,0,489
0,6154,400,9337,0,1218
0,2987,324,7437,0,1114
0,1835,1067,6159,0,734
0,4800,1336,14957,0,1621
1,4121,595,11468,0,1149
0,6910,358,9973,0,1541
1,37004,1932,49596,0,8375
0,27760,990,22815,0,6769
0,21414,1031,29306,0,11182
0,3685,566,8944,0,971
0,3293,550,7741,0,808
0,1710,225,5715,0,503
0,6170,505,12480,0,1487
0,802,91,2267,0,286
0,1088,185,3495,0,362
0,1918,191,4090,0,567
0,16291,782,24955,0,3862
1,39401,2178,39010,0,13587
0,13253,2099,35525,0,2760
0,4157,268,7355,0,1257
0,5902,394,10631,0,1282
0,1761,298,5962,0,501
0,1529,218,3935,0,421
1,7825,650,15560,0,2423
0,990,110,2469,0,304
0,26523,1244,40619,0,6984
0,7918,399,12554,0,1671
0,674,115,2519,0,250
2,20559,3986,45053,0,5209
0,1872,176,4461,0,557
0,1707,215,4514,0,454
0,4106,311,8691,0,973
0,1457,206,4097,0,415
0,2433,224,6111,0,657
1,1078,127,2877,0,376
1,13288,1328,23473,0,2792
1,14595,640,22089,0,3436
0,15955,1153,31419,0,3666
2,7147,1001,16760,0,2541
1,9952,746,19195,0,2486
1,13468,764,22199,0,2801
2,20757,1681,36976,0,4333
1,9598,692,24123,0,2418
0,5867,364,10775,0,1394
1,5126,256,8985,0,1345
0,10556,720,22000,0,2302
0,1246,115,3801,0,366
1,8904,493,14597,0,2027
0,6787,186,10964,0,1641
0,4745,175,8267,0,833
2,27414,963,35995,0,5265
1,2078,140,5504,0,506
0,9268,257,13251,0,1930
1,12049,363,17512,0,2872
1,5153,161,6428,0,2002
0,7033,227,10750,0,1858
1,3081,105,5052,0,962
0,1221,79,2619,0,363
0,2732,81,4183,0,656
1,7626,252,12008,0,2284
0,1132,169,2953,0,533
0,1407,4413,9110,0,2613
0,4794,186,7745,0,1071
0,1152,99,2658,0,445
0,2114,126,4379,0,798
1,29127,909,31580,0,6230
0,3881,121,4092,0,1406
2,54049,2255,55545,0,9865
0,995,63,1898,0,308
0,1539,125,4452,0,527
0,949,50,2123,0,345
0,1533,69,2876,0,450
0,534,724,5084,0,361
0,1053,65,2307,0,339
0,4961,182,8034,0,1879
0,696,344,3289,0,269
1,692,393,2713,0,597
2,8567,320,13062,0,2915
0,499,302,2477,0,336
1,685,81,2005,0,251
0,2675,62,4599,0,735
0,1170,97,2665,0,400
3,1106,73,2353,0,405
0,2460,71,2700,0,666
0,1134,58,2262,0,390
0,441,69,1814,0,247
0,1043,46,2597,0,333
0,305,275,2409,0,270
1,15707,480,14928,0,3591
0,482,25,1386,0,183
2,13455,454,21110,0,4369
0,2000,114,4293,0,551
0,463,51,1444,0,217
0,963,69,1979,0,301
0,1175,71,3001,0,292
1,16413,717,32356,0,6115
0,620,119,2645,0,336
0,464,79,1565,0,167
0,571,59,2014,0,247
0,6014,366,12293,0,1557
0,341,94,1901,0,225
0,1733,78,4382,0,463
0,255,128,1590,0,173
0,2804,158,7057,0,831
0,1129,72,3294,0,375
0,11438,332,17602,0,3125
0,686,81,1842,0,286
0,1700,90,4766,0,629
0,1497,350,5883,0,494
0,3079,168,7448,0,896
0,634,56,2241,0,255
0,1665,123,4966,0,539
0,1091,76,3054,0,386
0,5516,281,12742,0,1921
0,2578,147,6855,0,1211
0,5996,384,19611,0,3118
0,2381,184,7535,0,940
4,20533,1635,41305,0,7993
0,4244,304,8684,0,1660
0,108,283,1584,0,60
0,2031,58,2532,0,778
0,3210,558,10805,0,2447
0,959,404,4835,0,361
0,634,206,2079,0,435
1,2440,77,4396,0,829
0,433,148,2373,0,183
0,8649,569,13973,0,3429
0,904,110,3058,0,350
1,6260,1355,17783,0,1843
0,1959,224,5355,0,770
0,878,279,3251,0,390
0,2191,96,5256,0,1821
0,1630,95,3797,0,650
0,2413,565,11259,0,1217
3,4649,828,27497,0,1860
0,672,176,2634,0,280
0,369,181,2452,0,235
0,232,123,1671,0,130
0,492,150,3314,0,255
0,1704,94,3661,0,716
0,12911,430,22402,0,4625
0,3635,203,5878,0,1452
0,805,241,3014,0,432
0,1806,84,2853,0,650
0,1211,112,2553,0,468
0,272,195,1535,0,241
0,1263,77,3451,0,539
0,537,248,3363,0,352
0,245,115,1568,0,188
3,6941,2821,39852,0,10723
0,847,196,3998,0,943
1,9070,328,10007,0,5313
0,273,113,1218,0,154
0,946,80,2929,0,566
0,16518,1113,23743,0,5413
0,4752,587,11785,0,1715
0,437,236,2107,0,257
1,9861,305,16424,0,3707
0,1617,322,7992,0,1048
0,2135,231,7248,0,858
0,2782,1862,20398,0,1692
0,20092,562,25060,0,8376
0,516,174,3186,0,311
0,364,167,2475,0,185
0,1142,325,6310,0,511
0,1489,114,2914,0,564
0,608,149,2730,0,345
0,11925,398,18281,0,6493
1,795,246,6207,0,439
0,598,476,3498,0,302
0,446,77,1540,0,270
0,1461,618,8540,0,940
0,627,163,3593,0,408
1,4321,206,7455,0,2166
0,679,197,4310,0,387
0,4367,245,7851,0,1795
0,822,231,4923,0,396
1,1743,635,12606,0,1155
0,926,217,4749,0,445
0,1682,543,9680,0,861
0,1343,234,5540,0,607
0,2244,392,8073,0,1092
1,7011,3433,30665,0,2908
1,1164,268,6062,0,447
0,1348,286,5202,0,1352
0,3949,194,6255,0,1407
2,5388,1712,21592,0,2392
0,3269,5923,20151,0,1428
0,981,246,4555,0,485
4,66637,3601,152869,0,29282
0,618,193,4452,0,420
0,870,309,4758,0,493
2,4255,2105,23806,0,2916
2,6430,1337,31004,0,2514
0,2822,2978,16095,0,1189
1,1768,545,6513,0,1366
14,105838,7266,147279,0,52437
0,433,91,2238,0,377
0,795,170,6458,0,417
0,760,321,4049,0,687
5,3927,901,25622,0,2532
1,1928,328,13918,0,905
0,2503,713,8412,0,1912
1,540,126,3640,0,398
2,15931,754,20460,0,8748
0,419,126,4023,0,917
0,576,457,3430,0,257
0,606,122,2543,0,433
0,8459,839,20128,0,6004
1,551,178,2728,0,382
0,1334,226,5503,0,1015
4,7126,1229,38762,0,4752
0,1051,99,2737,0,550
4,4318,1182,22996,0,1923
0,607,124,2438,0,362
0,192,179,2127,0,152
0,2639,137,7676,0,1305
0,5407,119,8233,0,2862
0,809,105,3846,0,489
0,163,134,2150,0,157
0,4512,211,9132,0,2300
0,503,82,3613,0,220
4,25322,1536,34698,0,12965
0,448,311,3419,0,313
0,105,104,1531,0,100
0,3389,203,6435,0,2217
0,983,479,8120,0,912
0,629,176,4373,0,556
0,1422,2279,8422,0,740
1,13872,659,40007,0,8136
0,5349,1065,16924,0,2583
0,2511,591,18202,0,1183
0,823,938,9821,0,1619
0,561,74,2540,0,337
0,9796,854,20266,0,6079
0,612,358,4547,0,598
0,2468,151,7352,0,1566
0,613,290,3844,0,324
0,2249,400,9147,0,1946
0,572,216,4731,0,604
0,1823,352,9596,0,1031
0,238,231,2483,0,287
0,9939,1378,50868,0,5661
1,3998,760,36726,0,3171
0,999,258,5914,0,542
0,928,298,5696,0,562
0,848,931,6574,0,1067
0,1079,293,4670,0,435
0,3982,785,28055,0,1819
0,1767,151,6098,0,1294
0,473,137,2923,0,384
0,387,152,2328,0,325
0,4559,2863,34005,0,3066
0,2015,392,10355,0,1745
2,11058,7224,82072,0,9212
0,1125,470,8474,0,566
0,1140,1043,8059,0,673
0,1644,4062,10710,0,1039
0,7576,4356,34617,0,4721
0,401,148,2607,0,274
0,2152,389,15483,0,1256
0,4533,584,42730,0,1779
0,1833,386,8417,0,1680
0,6443,1657,42079,0,5074
0,3292,202,8476,0,1690
0,760,167,5571,0,670
0,1310,353,9372,0,939
0,15422,1034,58770,0,14428
0,622,334,5897,0,412
0,5776,6313,93084,0,8585
0,776,206,3061,0,641
1,5312,337,17279,0,4339
0,423,616,3276,0,690
1,6649,3069,30558,0,11915
3,35403,11664,219666,0,26672
1,5929,2234,38065,0,4429
0,751,405,7468,0,302
0,502,300,3907,0,873
0,2697,1107,17719,0,1411
0,5812,393,18159,0,3384
0,932,308,8838,0,668
0,403,187,2922,0,532
0,890,610,6932,0,430
0,542,322,4248,0,689
0,379,183,2824,0,282
0,1252,454,7130,0,715
0,2760,369,12042,0,2120
0,4018,357,12628,0,2614
0,1490,1078,10764,0,1180
0,3981,1415,29928,0,3751
0,452,179,3531,0,301
0,1109,160,4857,0,750
0,34596,1642,64483,0,21274
0,335,155,2553,0,291
0,817,180,4584,0,703
0,309,213,2618,0,220
0,1119,284,4873,0,1063
0,35377,8692,201562,0,13845
0,374,331,2729,0,388
1,5355,1247,49354,0,4665
0,235,160,2367,0,145
0,487,150,2896,0,623
0,495,107,3301,0,423
0,2656,514,12406,0,2210
0,382,322,3041,0,237
0,2412,191,7338,0,1558
0,3386,766,19594,0,1071
0,1179,392,4364,0,812
0,2009,145,6292,0,1546
0,3027,674,18166,0,1526
0,3353,359,11211,0,2096
0,7696,506,23673,0,5008
0,1183,326,5778,0,848
3,444176,51361,1648348,0,184854
0,403,52,2077,0,489
0,218,120,1697,0,406
0,290,153,2849,0,297
0,1658,769,8534,0,1068
0,791,192,3922,0,709
0,21803,1764,57719,0,18776
0,720,1090,6153,0,627
0,1949,6230,22947,0,3503
1,24029,1787,93135,0,24903
0,164,99,2066,0,339
0,297,470,4124,0,252
0,2050,89,7428,0,2638
0,10607,1040,36424,0,7583
0,1695,195,7428,0,2238
0,1221,56,5273,0,1915
0,340,117,2130,0,536
0,256,76,2035,0,509
0,340,62,2926,0,798
0,279,62,2218,0,512
0,19338,1156,74133,0,33767
0,1570,187,10071,0,2933
0,551,87,4535,0,1279
0,513,572,29289,0,5690
0,480,66,3630,0,1443
0,345,105,2582,0,473
0,1056,186,8217,0,2145
0,484,73,3326,0,896
0,5144,1927,34331,0,5432
0,178,49,1524,0,303
0,293,98,2853,0,503
0,273,116,2011,0,490
0,37534,3678,202241,0,49436
0,216,107,2068,0,339
0,570,58,3615,0,510
0,110,141,1097,0,146
0,266,80,3056,0,517
0,191,91,1713,0,281
0,917,4236,13512,0,781
0,115,32,1124,0,161
0,229,31,1512,0,407
0,348,35,2543,0,579
0,104,22,1193,0,169
0,225,54,2028,0,335
0,2025,719,22504,0,1941
0,91,49,1309,0,170
0,131,75,1652,0,310
0,71,182,1211,0,133
0,138,68,1643,0,298
0,157,334,1900,0,197
0,174,26,1554,0,366
0,290,69,2272,0,536
0,658,173,21552,0,1729
0,1653,108,7348,0,1988
0,6411,1447,66270,0,7139
0,83,39,1017,0,156
0,118,80,1141,0,218
0,102,104,1034,0,122
0,10864,451,62758,0,22699
0,1599,1200,36112,0,4731
0,77,119,1371,0,122
0,151,85,1380,0,216
0,351,81,2761,0,481
0,358,660,9694,0,498
0,59,595,1311,0,102
0,120,108,950,0,157
0,376,86,2110,0,355
0,131,83,1670,0,288
0,210,90,2167,0,568
0,184,93,1442,0,253
0,161,310,1456,0,239
0,72,582,1325,0,133
0,254,98,1341,0,290
0,98,25,1185,0,167
0,180,77,1934,0,318
0,87,147,1193,0,114
0,142,911,3413,0,186
0,124,196,1538,0,228
0,344,361,4065,0,522
0,750,1064,8610,0,543
0,101,287,1286,0,136
0,268,418,5729,0,493
