Title,Title_URL,Image,likes,comment,collect,share
这种植物被传的很神，用过的讲一下感受吧。#八角莲 #江边一碗水 #寻找古籍守护人 #抖音自然,https://www.douyin.com/video/7210701106370923816,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMDnRARhYNCsBDQksEebABgwdj9f2QI99qnMAg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=4ZjueUDWq1v6%2BaVGg3DE%2BNCSpaU%3D,1539,108,171,99
百晓参：八角莲祝你踏遍千难万险，一路繁花盛开~#动态壁纸 #充能计划 #轻漫计划 @抖音小助手 ,https://www.douyin.com/video/7034802854393023782,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/504e7231fe124995a5d49ef191f3ab2d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=oFWYru%2BYcdnVOUf%2Fyiz1cnt6vFw%3D,1213,23,89,34
八角茴香，舶茴香、八角珠、八角香、八角、原油茴，木兰科#中草药 #植物 #科普,https://www.douyin.com/video/7272614607259176211,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/31a2452559254811b46dd637cc8463a3_1693287552~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=QOhhjyZT9EN2GyU9sCfsQiW0LaA%3D,51,2,7,1
寓意八方来财，财源滚滚的植物你一定要知道#八角金盘#三农 #新农人计划 #中医文化 #大自然的馈赠  #嵩医,https://www.douyin.com/video/7204737601847282999,https://p3-sign.douyinpic.com/tos-cn-i-dy/51db44b083f94385a0b1ed07f0fd87f3~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=ozImTQ9xoPk0QV%2BQiPYXYgJ1OWw%3D,497,38,137,57
今年总算没错过六角莲的花，只是腐臭味太难闻了，怎样轻松分辨六角莲和八角莲呢？ #一日一植物  #江边一碗水,https://www.douyin.com/video/6955809994780544286,https://p3-sign.douyinpic.com/tos-cn-i-0813/64aef5517e9941c59caf721e7ddcf42b~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=CXyJskmo5y7Z9ypuTmkSc%2Fn3W%2Fc%3D,55000,730,702,432
#创作灵感 #植物科普 #我的乡村生活 公离不开婆，称离不开坨，炖肉离不开小陀螺，茴香科的，八角，你的家乡有吗？,https://www.douyin.com/video/7345767382763179291,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4iByeLQxfsnPCTaAKGJsbDV8BA7fB46Cc1HWI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=TS9xAIXRJfrARGuXtJ8mD10wEYk%3D,2867,123,333,142
#大自然的馈赠 #农村生活 #植物科普 做菜离不开的植物，八角，在野外你还认识它吗？,https://www.douyin.com/video/7153189591267233063,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/69df496bb37945bdb22add79e4b757cf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=7hyN791q9%2F9hMk7e8xVAYooInR4%3D,5779,312,723,327
#创作灵感 #大自然的馈赠 #植物科普 #我的乡村生活 八角枫，外型奇特，根部白龙须功效更是强大，在野外，大家一定要认识！,https://www.douyin.com/video/7122003877980867879,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e33824a84d62401faf6ce91b22b878e2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=1Hpdj5AOP1JaXTdQTI5kQe3qgng%3D,2383,99,284,103
#大自然的馈赠 #农村生活 #植物科普 一株懂风水的神奇植物，八角金盘，老伙计们，你们见过吗,https://www.douyin.com/video/7095961895819070724,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/453144958a174c6da3ff37a327f755c5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=3Kqe5kBznUXsEYNSH%2BssyP1IJQA%3D,3821,110,502,336
#大自然的馈赠 #野生植物 #植物科普 炖肉离不开的小陀螺，八角，野外你们见过吗,https://www.douyin.com/video/7091247899203374348,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/fd04ad71f6004876a2a72d6388e99263~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=zDnNcHRFCx8T58VxhL5t2dm%2BHJI%3D,8693,256,875,558
#大自然的馈赠 #中草药 曾救过神农的神奇植物，江边一碗水，八角莲，你们认识了吗？,https://www.douyin.com/video/7087789172278217987,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/404996f5ff97427494f44fd84c38fc8b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=P64qeAYMHdC3qO8YXOqNuYrmJiQ%3D,8657,391,984,691
#我的乡村生活 #中草药 #中药本草 #乡村味道 八方来财，聚四方才气，更上一层，这就是八角金盘，大家一定要认识一下,https://www.douyin.com/video/7030995701291044134,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/13deb4f70a95447cb89eef4bd9e721d6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=0Bh7F7m7O0RKYpK%2Bfxs7YhHl3TE%3D,1053,57,119,94
